company_name,industry,symbol,Series,sector,ticker,f&o
Gabriel India Limited,Automobile and Auto Components,GABRIEL,EQ,Automobile and Auto Components,GABRIEL.NS,#N/A
GAIL (India) Limited,"Oil, Gas & Consumable Fuels",GAIL,EQ,"Oil, Gas & Consumable Fuels",GAIL.NS,F&O
Galaxy Surfactants Limited,Chemicals,GALAXYSURF,EQ,Chemicals,GALAXYSURF.NS,#N/A
Gallantt Ispat Limited,Capital Goods,GALLANTT,EQ,Capital Goods,GALLANTT.NS,#N/A
Garware Technical Fibres Limited,Textiles,GARFIBRES,EQ,Textiles,GARFIBRES.NS,#N/A
Gateway Distriparks Limited,Services,GATEWAY,EQ,Services,GATEWAY.NS,#N/A
Gensol Engineering Limited,Services,GENSOL,EQ,Services,GENSOL.NS,#N/A
Genus Power Infrastructures Limited,Capital Goods,GENUSPOWER,EQ,Capital Goods,GENUSPOWER.NS,#N/A
The Great Eastern Shipping Company Limited,Services,GESHIP,EQ,Services,GESHIP.NS,#N/A
GHCL Limited,Chemicals,GHCL,EQ,Chemicals,GHCL.NS,#N/A
General Insurance Corporation of India,Financial Services,GICRE,EQ,Financial Services,GICRE.NS,#N/A
Gillette India Limited,Fast Moving Consumer Goods,GILLETTE,EQ,Fast Moving Consumer Goods,GILLETTE.NS,#N/A
Gland Pharma Limited,Healthcare,GLAND,EQ,Healthcare,GLAND.NS,#N/A
GlaxoSmithKline Pharmaceuticals Limited,Healthcare,GLAXO,EQ,Healthcare,GLAXO.NS,#N/A
Glenmark Pharmaceuticals Limited,Healthcare,GLENMARK,EQ,Healthcare,GLENMARK.NS,F&O
Gujarat Mineral Development Corporation Limited,Metals & Mining,GMDCLTD,EQ,Metals & Mining,GMDCLTD.NS,#N/A
GMM Pfaudler Limited,Capital Goods,GMMPFAUDLR,EQ,Capital Goods,GMMPFAUDLR.NS,#N/A
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,Services,GMRAIRPORT.NS,F&O
Gujarat Narmada Valley Fertilizers and Chemicals Limited,Chemicals,GNFC,EQ,Chemicals,GNFC.NS,#N/A
Go Fashion (India) Limited,Consumer Services,GOCOLORS,EQ,Consumer Services,GOCOLORS.NS,#N/A
Godfrey Phillips India Limited,Fast Moving Consumer Goods,GODFRYPHLP,EQ,Fast Moving Consumer Goods,GODFRYPHLP.NS,F&O
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,Financial Services,GODIGIT.NS,#N/A
Godrej Agrovet Limited,Fast Moving Consumer Goods,GODREJAGRO,EQ,Fast Moving Consumer Goods,GODREJAGRO.NS,#N/A
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,Fast Moving Consumer Goods,GODREJCP.NS,F&O
Godrej Industries Limited,Diversified,GODREJIND,EQ,Diversified,GODREJIND.NS,#N/A
Godrej Properties Limited,Realty,GODREJPROP,EQ,Realty,GODREJPROP.NS,F&O
Gokaldas Exports Limited,Textiles,GOKEX,EQ,Textiles,GOKEX.NS,#N/A
Godawari Power And Ispat limited,Capital Goods,GPIL,EQ,Capital Goods,GPIL.NS,#N/A
